127.0.0.1 - - [16/Feb/2021:09:29:54 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:29:54 +0900] "GET /day03/document01.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:34:51 +0900] "GET /day03/document02.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:36:14 +0900] "GET /day03/document02.html HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:09 +0900] "GET /day03/document03.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:33 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:33 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:33 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:34 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:34 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:34 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:34 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:34 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:34 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:35 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:35 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:35 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:41:56 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:06 +0900] "GET /day03/document03.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:06 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:07 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:07 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:07 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:07 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:11 +0900] "GET /day03/document03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:09:43:36 +0900] "GET /day03/document03.html HTTP/1.1" 200 790
