127.0.0.1 - - [10/Feb/2021:09:39:17 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:39:17 +0900] "GET /day02/object01.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:39:18 +0900] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:40:14 +0900] "GET /day02/object01.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:40:59 +0900] "GET /day02/object01.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:10 +0900] "GET /day02/object01.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:24 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:25 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:25 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:25 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:27 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:27 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:27 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:41:27 +0900] "GET /day02/object01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:24 +0900] "GET /day02/core_test01.html HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:49 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:49 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:49 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:49 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:50 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:50 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:50 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:09:50:50 +0900] "GET /day02/core_test01.html HTTP/1.1" 304 -
